"","Transitions","bodySize","hostDistances","rangeOverlap","roostOverlap","wingAspectRatio","wingLoading","Transition_Rates","Key"
"Li->Nh",0,53,0.948,0.987896909,0,0.9,3.891836735,0.1053,"Li->Nh"
"Ln->Nh",0,22,0.531,0.278282088,1,0.2,2.5,0.0942,"Ln->Nh"
"Ls->Nh",0,4.7,1.004,0.94040563,0,0.1,3.3,0.1064,"Ls->Nh"
"Lx->Nh",0,53,0.876,0.001,0,0.9,3.891836735,0.1032,"Lx->Nh"
"Ma->Nh",0,4,0.882,0.999962335,1,0.85859375,3.891836735,0.1022,"Ma->Nh"
"Mc->Nh",0,2,0.805,0.001,1,1.2,5.9,0.119,"Mc->Nh"
"Ml->Nh",0,9,0.824,0.284180069,1,0.8,3.2,0.1234,"Ml->Nh"
"My->Nh",0,6,0.868,0.001,1,0.5,2.9,0.1092,"My->Nh"
"Ph->Nh",0,20,0.684,0.001,0,1.1,3.8,0.1055,"Ph->Nh"
"Ps->Nh",0,4,0.758,0.639340968,1,0.6,5.1,0.0943,"Ps->Nh"
"Tb->Nh",0,16,1.011,0.387411273,1,1.4,0.8,0.0838,"Tb->Nh"
"Ap->Ph",0,62,0.596,0.529646154,1,0.4,1.2,0.0804,"Ap->Ph"
"Ef->Ph",0,65,0.689,0.18580533,0,0.9,2.5,0.0612,"Ef->Ph"
"Lb->Ph",0,35.9,0.746,0.01903271,0,1,7.1,0.0557,"Lb->Ph"
"Lbl->Ph",0,39,0.668,0.421647013,0,1,7.1,0.0795,"Lbl->Ph"
"Lc->Ph",0,77,0.578,0.187172672,0,2.4,9.6,0.0618,"Lc->Ph"
"Li->Ph",0,73,0.728,0.001,0,2,3.891836735,0.0795,"Li->Ph"
"Ln->Ph",0,42,0.655,0.158496758,1,0.9,1.3,0.072,"Ln->Ph"
"Ls->Ph",0,24.7,0.784,0.001,0,1,7.1,0.0814,"Ls->Ph"
"Lx->Ph",0,73,0.656,1,0,2,3.891836735,0.0808,"Lx->Ph"
"Ma->Ph",0,24,0.576,0.001,0,0.85859375,3.891836735,0.0793,"Ma->Ph"
"Mc->Ph",0,22,0.499,0.591444037,1,0.1,2.1,0.0891,"Mc->Ph"
"Ml->Ph",1,29,0.518,0.104865413,1,0.3,0.6,0.0919,"Ml->Ph"
"My->Ph",0,26,0.562,0.559183488,0,0.6,0.9,0.0817,"My->Ph"
"Nh->Ph",0,20,0.684,0.001,0,1.1,3.8,0.0807,"Nh->Ph"
"Ps->Ph",0,16,0.434,0.002605376,1,0.5,1.3,0.0723,"Ps->Ph"
"Tb->Ph",0,36,0.791,0.344288288,0,2.5,4.6,0.0644,"Tb->Ph"
"Ap->Ps",0,46,0.67,0.060654874,1,0.1,2.5,0.0766,"Ap->Ps"
"Ef->Ps",0,49,0.763,0.444348723,1,0.4,3.8,0.1061,"Ef->Ps"
"Lb->Ps",1,19.9,0.82,0.764603681,0,0.5,8.4,0.0633,"Lb->Ps"
"Lbl->Ps",0,23,0.742,0.001,0,0.5,8.4,0.0755,"Lbl->Ps"
"Lc->Ps",0,61,0.652,0.441196809,0,1.9,10.9,0.0591,"Lc->Ps"
"Li->Ps",0,57,0.802,0.959691865,0,1.5,3.891836735,0.0758,"Li->Ps"
"Ln->Ps",1,26,0.729,0.443048579,1,0.4,2.6,0.0718,"Ln->Ps"
"Ls->Ps",0,8.7,0.858,0.032222179,0,0.5,8.4,0.0772,"Ls->Ps"
"Lx->Ps",0,57,0.73,0.001,0,1.5,3.891836735,0.0767,"Lx->Ps"
"Ma->Ps",0,8,0.65,0.990626359,1,0.85859375,3.891836735,0.0756,"Ma->Ps"
"Mc->Ps",0,6,0.573,0.001,1,0.6,0.8,0.0842,"Mc->Ps"
"Ml->Ps",0,13,0.592,0.468630948,1,0.2,1.9,0.0868,"Ml->Ps"
