"","Transitions","wingLoading","wingAspectRatio","roostOverlap","rangeOverlap","hostDistances","bodySize","Transition_Rates","Key"
"Lc->Ps",0,10.9,1.9,0,0.441196809,0.652,61,0.000999999999999999,"Lc->Ps"
"Li->Ps",0,3.891836735,1.5,0,0.959691865,0.802,57,0.000999999999999999,"Li->Ps"
"Ln->Ps",1,2.6,0.4,1,0.443048579,0.729,26,0.000999999999999999,"Ln->Ps"
"Ls->Ps",0,8.4,0.5,0,0.032222179,0.858,8.7,0.000999999999999999,"Ls->Ps"
"Lx->Ps",0,3.891836735,1.5,0,0.001,0.73,57,0.000999999999999999,"Lx->Ps"
"Ma->Ps",0,3.891836735,0.85859375,1,0.990626359,0.65,8,0.000999999999999999,"Ma->Ps"
"Mc->Ps",0,0.8,0.6,1,0.001,0.573,6,0.000999999999999999,"Mc->Ps"
"Ml->Ps",0,1.9,0.2,1,0.468630948,0.592,13,0.000999999999999999,"Ml->Ps"
"My->Ps",0,2.2,0.1,1,3.23e-05,0.636,10,0.000999999999999999,"My->Ps"
"Nh->Ps",0,5.1,0.6,1,0.954873307,0.758,4,0.000999999999999999,"Nh->Ps"
"Ph->Ps",0,1.3,0.5,1,0.006230689,0.434,16,0.000999999999999999,"Ph->Ps"
"Tb->Ps",0,5.9,2,1,0.425094541,0.865,20,0.000999999999999999,"Tb->Ps"
"Ap->Tb",0,3.4,2.1,1,0.773330991,0.923,26,0.000999999999999999,"Ap->Tb"
"Ef->Tb",2,2.1,1.6,1,0.468980589,1.016,29,0.000999999999999999,"Ef->Tb"
"Lb->Tb",0,2.5,1.5,0,0.420313775,0.839,0.1,0.000999999999999999,"Lb->Tb"
"Lbl->Tb",0,2.5,1.5,0,0.597385233,0.761,3,0.000999999999999999,"Lbl->Tb"
"Lc->Tb",0,5,0.1,0,0.465824797,0.671,41,0.000999999999999999,"Lc->Tb"
"Li->Tb",0,3.891836735,0.5,0,0.950586329,0.821,37,0.000999999999999999,"Li->Tb"
"Ln->Tb",0,3.3,1.6,0,0.420153215,0.982,6,0.000999999999999999,"Ln->Tb"
"Ls->Tb",0,2.5,1.5,0,0.83800085,0.877,11.3,0.000999999999999999,"Ls->Tb"
