"","Transitions","subsetDgeo","subsetDeff","Transition_Rates","Ori_Pop_Size","Dest_Pop_Size","Key"
"CN->BD",0,2205.8247,5.2583,0.0342196885666238,1347350000,142319000,"CN->BD"
"CO->BD",0,16231.3745,9.1397,0.0342196885666238,47015000,142319000,"CO->BD"
"DE->BD",0,7417.498,6.5916,0.0342196885666238,80500000,142319000,"DE->BD"
"DK->BD",0,7298.7897,7.5184,0.0342196885666238,5580000,142319000,"DK->BD"
"EC->BD",0,17374.1317,9.215,0.0342196885666238,14483000,142319000,"EC->BD"
"ES->BD",0,8931.8311,6.466,0.0342196885666238,46185000,142319000,"ES->BD"
"FI->BD",0,6514.1126,7.9591,0.0342196885666238,5408000,142319000,"FI->BD"
"FJ->BD",0,10411.6945,7.8127,0.0342196885666238,861000,142319000,"FJ->BD"
"FR->BD",0,8015.3665,6.766,0.0342196885666238,65350000,142319000,"FR->BD"
"GB->BD",0,8174.2177,4.4957,0.0342196885666238,62262000,142319000,"GB->BD"
"GF->BD",0,14970.4272,8.4549,0.0342196885666238,224000,142319000,"GF->BD"
"GR->BD",0,6387.7604,7.6238,0.0342196885666238,10787000,142319000,"GR->BD"
"HK->BD",1,2311.2914,4.171,0.0342196885666238,7103000,142319000,"HK->BD"
"ID->BD",0,3858.2231,5.5181,0.0342196885666238,237641000,142319000,"ID->BD"
"IN->BD",0,1263.1078,3.0314,0.0342196885666238,1210570000,142319000,"IN->BD"
"IS->BD",0,8743.1947,6.9265,0.0342196885666238,320000,142319000,"IS->BD"
"IT->BD",0,7409.6629,6.5638,0.0342196885666238,59464000,142319000,"IT->BD"
"JP->BD",1,4456.0317,6.1882,0.0342196885666238,127300000,142319000,"JP->BD"
"KH->BD",0,1849.3685,5.2365,0.0342196885666238,13396000,142319000,"KH->BD"
"KR->BD",1,3746.4901,6.5186,0.0342196885666238,48580000,142319000,"KR->BD"
"LA->BD",0,1324.8438,4.8965,0.0342196885666238,6256000,142319000,"LA->BD"
"LK->BD",0,2204.2895,5.2108,0.0342196885666238,20653000,142319000,"LK->BD"
"LV->BD",0,6461.8706,7.3016,0.0342196885666238,2070000,142319000,"LV->BD"
"MD->BD",0,6045.8425,9.5037,0.0342196885666238,3560000,142319000,"MD->BD"
"MM->BD",0,614.4569,4.5341,0.0342196885666238,47963000,142319000,"MM->BD"
"MY->BD",0,2801.7737,3.4967,0.0342196885666238,30017000,142319000,"MY->BD"
"NL->BD",0,7719.5213,6.9112,0.0342196885666238,16838000,142319000,"NL->BD"
"NO->BD",0,7207.3336,7.1666,0.0342196885666238,5009000,142319000,"NO->BD"
"NP->BD",1,749.5858,3.5434,0.0342196885666238,26621000,142319000,"NP->BD"
"NZ->BD",1,11096.2451,7.2786,0.0342196885666238,4434000,142319000,"NZ->BD"
"PE->BD",0,17904.6766,9.3027,0.0342196885666238,30135000,142319000,"PE->BD"
"PH->BD",0,3647.137,6.6416,0.0342196885666238,92340000,142319000,"PH->BD"
"PT->BD",0,9815.3047,6.9421,0.0342196885666238,10487000,142319000,"PT->BD"
"PY->BD",0,16871.0269,10.7208,0.0342196885666238,6382000,142319000,"PY->BD"
"RO->BD",0,6401.6607,8.4209,0.0342196885666238,19043000,142319000,"RO->BD"
"RS->BD",0,6699.8577,8.4352,0.0342196885666238,7120000,142319000,"RS->BD"
"SE->BD",0,6907.3527,7.2859,0.0342196885666238,9490000,142319000,"SE->BD"
"SG->BD",0,2828.6678,3.7582,0.0342196885666238,5184000,142319000,"SG->BD"
"TH->BD",0,1504.2055,3.2535,0.0342196885666238,65500000,142319000,"TH->BD"
"TW->BD",0,2963.1066,5.9865,0.0342196885666238,23293593,142319000,"TW->BD"
"UA->BD",0,5821.3412,7.8646,0.0342196885666238,45426000,142319000,"UA->BD"
"US->BD",3,13114.5623,7.0432,0.0342196885666238,3.17e+08,142319000,"US->BD"
"UY->BD",0,16588.8282,10.9649,0.0342196885666238,3251000,142319000,"UY->BD"
"VE->BD",0,15551.2928,9.3098,0.0342196885666238,27150000,142319000,"VE->BD"
"VN->BD",0,1930.8062,6.053,0.0342196885666238,87840000,142319000,"VN->BD"
"AL->BG",0,561.1407,5.1458,0.0342196885666238,2832000,7284000,"AL->BG"
"AR->BG",0,12906.9067,7.3511,0.0342196885666238,40117000,7284000,"AR->BG"
"AT->BG",0,1080.7806,3.2732,0.0342196885666238,8451860,7284000,"AT->BG"
"AU->BG",0,14198.268,9.0561,0.0342196885666238,22902000,7284000,"AU->BG"
"BD->BG",0,6256.5065,7.8005,0.0342196885666238,142319000,7284000,"BD->BG"
"BO->BG",0,11464.4217,8.4818,0.0342196885666238,10624000,7284000,"BO->BG"
"BR->BG",0,9912.607,6.1447,0.0342196885666238,192400000,7284000,"BR->BG"
"BY->BG",0,1235.9093,5.1806,0.0342196885666238,9460000,7284000,"BY->BG"
"CA->BG",0,8362.2868,6.4779,0.0342196885666238,3.5e+07,7284000,"CA->BG"
"CH->BG",0,1518.781,4.9771,0.0342196885666238,7952000,7284000,"CH->BG"
"CL->BG",0,12959.2322,7.8475,0.0342196885666238,17402000,7284000,"CL->BG"
"CN->BG",0,7372.9317,6.618,0.0342196885666238,1347350000,7284000,"CN->BG"
"CO->BG",0,10354.7859,7.5977,0.0342196885666238,47015000,7284000,"CO->BG"
"DE->BG",0,1546.8851,2.3925,0.0342196885666238,80500000,7284000,"DE->BG"
"DK->BG",0,1871.7623,5.3707,0.0342196885666238,5580000,7284000,"DK->BG"
"EC->BG",0,11388.9359,7.4073,0.0342196885666238,14483000,7284000,"EC->BG"
"ES->BG",0,2675.9463,4.2007,0.0342196885666238,46185000,7284000,"ES->BG"
"FI->BG",0,2227.1534,5.2478,0.0342196885666238,5408000,7284000,"FI->BG"
"FJ->BG",0,16129.6604,8.33,0.0342196885666238,861000,7284000,"FJ->BG"
"FR->BG",0,1847.4597,4.0449,0.0342196885666238,65350000,7284000,"FR->BG"
"GB->BG",0,2391.3298,3.3048,0.0342196885666238,62262000,7284000,"GB->BG"
"GF->BG",0,8718.3861,5.7337,0.0342196885666238,224000,7284000,"GF->BG"
"GR->BG",0,536.4302,3.8864,0.0342196885666238,10787000,7284000,"GR->BG"
"HK->BG",0,8163.5296,7.4632,0.0342196885666238,7103000,7284000,"HK->BG"
"ID->BG",0,10058.2126,8.7553,0.0342196885666238,237641000,7284000,"ID->BG"
"IN->BG",0,5499.7497,6.1021,0.0342196885666238,1210570000,7284000,"IN->BG"
"IS->BG",0,3853.8951,5.7355,0.0342196885666238,320000,7284000,"IS->BG"
