"","Transitions","bodySize","hostDistances","rangeOverlap","roostOverlap","wingAspectRatio","wingLoading","Key"
"Lc->Ph",0,77,0.578,0.187172672,0,2.4,9.6,"Lc->Ph"
"Li->Ph",0,73,0.728,0.001,0,2,3.891836735,"Li->Ph"
"Ln->Ph",0,42,0.655,0.158496758,1,0.9,1.3,"Ln->Ph"
"Ls->Ph",0,24.7,0.784,0.001,0,1,7.1,"Ls->Ph"
"Lx->Ph",0,73,0.656,1,0,2,3.891836735,"Lx->Ph"
"Ma->Ph",0,24,0.576,0.001,0,0.85859375,3.891836735,"Ma->Ph"
"Mc->Ph",1,22,0.499,0.591444037,1,0.1,2.1,"Mc->Ph"
"Ml->Ph",0,29,0.518,0.104865413,1,0.3,0.6,"Ml->Ph"
"My->Ph",0,26,0.562,0.559183488,0,0.6,0.9,"My->Ph"
"Nh->Ph",0,20,0.684,0.001,0,1.1,3.8,"Nh->Ph"
"Ps->Ph",0,16,0.434,0.002605376,1,0.5,1.3,"Ps->Ph"
"Tb->Ph",0,36,0.791,0.344288288,0,2.5,4.6,"Tb->Ph"
"Ap->Ps",0,46,0.67,0.060654874,1,0.1,2.5,"Ap->Ps"
"Ef->Ps",0,49,0.763,0.444348723,1,0.4,3.8,"Ef->Ps"
"Lb->Ps",1,19.9,0.82,0.764603681,0,0.5,8.4,"Lb->Ps"
"Lbl->Ps",0,23,0.742,0.001,0,0.5,8.4,"Lbl->Ps"
"Lc->Ps",0,61,0.652,0.441196809,0,1.9,10.9,"Lc->Ps"
"Li->Ps",0,57,0.802,0.959691865,0,1.5,3.891836735,"Li->Ps"
"Ln->Ps",1,26,0.729,0.443048579,1,0.4,2.6,"Ln->Ps"
"Ls->Ps",0,8.7,0.858,0.032222179,0,0.5,8.4,"Ls->Ps"
"Lx->Ps",0,57,0.73,0.001,0,1.5,3.891836735,"Lx->Ps"
"Ma->Ps",0,8,0.65,0.990626359,1,0.85859375,3.891836735,"Ma->Ps"
"Mc->Ps",0,6,0.573,0.001,1,0.6,0.8,"Mc->Ps"
"Ml->Ps",0,13,0.592,0.468630948,1,0.2,1.9,"Ml->Ps"
"My->Ps",0,10,0.636,3.23e-05,1,0.1,2.2,"My->Ps"
"Nh->Ps",0,4,0.758,0.954873307,1,0.6,5.1,"Nh->Ps"
"Ph->Ps",0,16,0.434,0.006230689,1,0.5,1.3,"Ph->Ps"
"Tb->Ps",0,20,0.865,0.425094541,1,2,5.9,"Tb->Ps"
"Ap->Tb",0,26,0.923,0.773330991,1,2.1,3.4,"Ap->Tb"
"Ef->Tb",2,29,1.016,0.468980589,1,1.6,2.1,"Ef->Tb"
"Lb->Tb",0,0.1,0.839,0.420313775,0,1.5,2.5,"Lb->Tb"
"Lbl->Tb",0,3,0.761,0.597385233,0,1.5,2.5,"Lbl->Tb"
"Lc->Tb",0,41,0.671,0.465824797,0,0.1,5,"Lc->Tb"
"Li->Tb",0,37,0.821,0.950586329,0,0.5,3.891836735,"Li->Tb"
"Ln->Tb",0,6,0.982,0.420153215,0,1.6,3.3,"Ln->Tb"
"Ls->Tb",0,11.3,0.877,0.83800085,0,1.5,2.5,"Ls->Tb"
"Lx->Tb",0,37,0.749,1,0,0.5,3.891836735,"Lx->Tb"
"Ma->Tb",0,12,0.989,0.7697533,1,0.85859375,3.891836735,"Ma->Tb"
"Mc->Tb",0,14,0.912,0.666837643,1,2.6,6.7,"Mc->Tb"
"Ml->Tb",0,7,0.931,0.295869594,1,2.2,4,"Ml->Tb"
"My->Tb",0,10,0.975,0.629826356,1,1.9,3.7,"My->Tb"
"Nh->Tb",0,16,1.011,0.61104878,1,1.4,0.8,"Nh->Tb"
"Ph->Tb",0,36,0.791,0.869517695,0,2.5,4.6,"Ph->Tb"
"Ps->Tb",0,20,0.865,0.448927218,1,2,5.9,"Ps->Tb"
