"","Transitions","subsetDeff","subsetDgeo","Ori_Pop_Size","Dest_Pop_Size","Key"
"MD->BD",0,9.5037,6045.8425,3560000,142319000,"MD->BD"
"MM->BD",0,4.5341,614.4569,47963000,142319000,"MM->BD"
"MY->BD",0,3.4967,2801.7737,30017000,142319000,"MY->BD"
"NL->BD",0,6.9112,7719.5213,16838000,142319000,"NL->BD"
"NO->BD",0,7.1666,7207.3336,5009000,142319000,"NO->BD"
"NP->BD",0,3.5434,749.5858,26621000,142319000,"NP->BD"
"NZ->BD",0,7.2786,11096.2451,4434000,142319000,"NZ->BD"
"PE->BD",0,9.3027,17904.6766,30135000,142319000,"PE->BD"
"PH->BD",0,6.6416,3647.137,92340000,142319000,"PH->BD"
"PT->BD",0,6.9421,9815.3047,10487000,142319000,"PT->BD"
"PY->BD",0,10.7208,16871.0269,6382000,142319000,"PY->BD"
"RO->BD",0,8.4209,6401.6607,19043000,142319000,"RO->BD"
"RS->BD",0,8.4352,6699.8577,7120000,142319000,"RS->BD"
"SE->BD",0,7.2859,6907.3527,9490000,142319000,"SE->BD"
"SG->BD",0,3.7582,2828.6678,5184000,142319000,"SG->BD"
"TH->BD",0,3.2535,1504.2055,65500000,142319000,"TH->BD"
"TW->BD",0,5.9865,2963.1066,23293593,142319000,"TW->BD"
"UA->BD",0,7.8646,5821.3412,45426000,142319000,"UA->BD"
"US->BD",2,7.0432,13114.5623,3.17e+08,142319000,"US->BD"
"UY->BD",0,10.9649,16588.8282,3251000,142319000,"UY->BD"
"VE->BD",0,9.3098,15551.2928,27150000,142319000,"VE->BD"
"VN->BD",0,6.053,1930.8062,87840000,142319000,"VN->BD"
"AL->BG",0,5.1458,561.1407,2832000,7284000,"AL->BG"
"AR->BG",0,7.3511,12906.9067,40117000,7284000,"AR->BG"
"AT->BG",0,3.2732,1080.7806,8451860,7284000,"AT->BG"
"AU->BG",1,9.0561,14198.268,22902000,7284000,"AU->BG"
"BD->BG",0,7.8005,6256.5065,142319000,7284000,"BD->BG"
"BO->BG",0,8.4818,11464.4217,10624000,7284000,"BO->BG"
"BR->BG",0,6.1447,9912.607,192400000,7284000,"BR->BG"
"BY->BG",0,5.1806,1235.9093,9460000,7284000,"BY->BG"
"CA->BG",0,6.4779,8362.2868,3.5e+07,7284000,"CA->BG"
"CH->BG",0,4.9771,1518.781,7952000,7284000,"CH->BG"
"CL->BG",0,7.8475,12959.2322,17402000,7284000,"CL->BG"
"CN->BG",0,6.618,7372.9317,1347350000,7284000,"CN->BG"
"CO->BG",0,7.5977,10354.7859,47015000,7284000,"CO->BG"
"DE->BG",0,2.3925,1546.8851,80500000,7284000,"DE->BG"
"DK->BG",0,5.3707,1871.7623,5580000,7284000,"DK->BG"
"EC->BG",0,7.4073,11388.9359,14483000,7284000,"EC->BG"
"ES->BG",0,4.2007,2675.9463,46185000,7284000,"ES->BG"
"FI->BG",0,5.2478,2227.1534,5408000,7284000,"FI->BG"
"FJ->BG",0,8.33,16129.6604,861000,7284000,"FJ->BG"
"FR->BG",0,4.0449,1847.4597,65350000,7284000,"FR->BG"
"GB->BG",0,3.3048,2391.3298,62262000,7284000,"GB->BG"
"GF->BG",0,5.7337,8718.3861,224000,7284000,"GF->BG"
"GR->BG",0,3.8864,536.4302,10787000,7284000,"GR->BG"
"HK->BG",0,7.4632,8163.5296,7103000,7284000,"HK->BG"
"ID->BG",0,8.7553,10058.2126,237641000,7284000,"ID->BG"
"IN->BG",0,6.1021,5499.7497,1210570000,7284000,"IN->BG"
"IS->BG",0,5.7355,3853.8951,320000,7284000,"IS->BG"
"IT->BG",0,3.483,1158.4919,59464000,7284000,"IT->BG"
"JP->BG",0,7.0724,8731.4922,127300000,7284000,"JP->BG"
"KH->BG",0,8.6307,8103.5344,13396000,7284000,"KH->BG"
"KR->BG",0,7.3354,8221.9011,48580000,7284000,"KR->BG"
"LA->BG",0,8.2906,7561.5967,6256000,7284000,"LA->BG"
"LK->BG",0,6.8548,6552.1653,20653000,7284000,"LK->BG"
"LV->BG",0,5.2353,1574.7535,2070000,7284000,"LV->BG"
"MD->BG",0,5.9779,502.702,3560000,7284000,"MD->BG"
"MM->BG",0,8.2157,6870.8495,47963000,7284000,"MM->BG"
"MY->BG",0,7.5561,9020.389,30017000,7284000,"MY->BG"
"NL->BG",0,4.7712,1864.4327,16838000,7284000,"NL->BG"
"NO->BG",0,5.6776,2466.016,5009000,7284000,"NO->BG"
"NP->BG",0,8.1035,5507.1032,26621000,7284000,"NP->BG"
"NZ->BG",0,8.8973,17320.3011,4434000,7284000,"NZ->BG"
"PE->BG",0,7.805,11662.344,30135000,7284000,"PE->BG"
"PH->BG",0,9.5028,9758.0328,92340000,7284000,"PH->BG"
"PT->BG",0,5.2932,3583.3287,10487000,7284000,"PT->BG"
"PY->BG",0,7.9889,11409.408,6382000,7284000,"PY->BG"
"RO->BG",0,4.8991,326.7495,19043000,7284000,"RO->BG"
"RS->BG",0,5.3547,460.5883,7120000,7284000,"RS->BG"
"SE->BG",0,5.341,2007.1192,9490000,7284000,"SE->BG"
"SG->BG",0,6.9323,8909.0953,5184000,7284000,"SG->BG"
"TH->BG",0,6.6477,7735.1535,65500000,7284000,"TH->BG"
"TW->BG",0,8.7823,8564.2503,23293593,7284000,"TW->BG"
"UA->BG",0,5.5845,733.4318,45426000,7284000,"UA->BG"
"US->BG",0,5.5455,9281.6646,3.17e+08,7284000,"US->BG"
"UY->BG",0,8.4281,11966.2937,3251000,7284000,"UY->BG"
"VE->BG",0,6.759,9457.0273,27150000,7284000,"VE->BG"
"VN->BG",0,8.1004,8156.8602,87840000,7284000,"VN->BG"
"AL->BO",0,8.2838,10903.8738,2832000,10624000,"AL->BO"
"AR->BO",0,2.7559,2353.8549,40117000,10624000,"AR->BO"
"AT->BO",0,8.0375,10683.4536,8451860,10624000,"AT->BO"
"AU->BO",0,6.4861,14113.7255,22902000,10624000,"AU->BO"
"BD->BO",0,10.0187,17539.1723,142319000,10624000,"BD->BO"
"BG->BO",0,8.4818,11464.4217,7284000,10624000,"BG->BO"
"BR->BO",1,2.3371,2032.3659,192400000,10624000,"BR->BO"
"BY->BO",0,8.8774,11794.863,9460000,10624000,"BY->BO"
"CA->BO",0,4.326,7964.6886,3.5e+07,10624000,"CA->BO"
"CH->BO",0,6.9256,10207.2807,7952000,10624000,"CH->BO"
"CL->BO",0,3.094,1801.1782,17402000,10624000,"CL->BO"
"CN->BO",0,7.1472,18410.9061,1347350000,10624000,"CN->BO"
"CO->BO",0,4.6941,2979.5771,47015000,10624000,"CO->BO"
"DE->BO",0,6.0893,10518.4584,80500000,10624000,"DE->BO"
"DK->BO",0,7.2789,10764.9862,5580000,10624000,"DK->BO"
"EC->BO",0,5.1473,2249.4041,14483000,10624000,"EC->BO"
"ES->BO",0,4.6928,8832.2598,46185000,10624000,"ES->BO"
"FI->BO",0,8.0836,11722.0681,5408000,10624000,"FI->BO"
"FJ->BO",0,5.76,12080.0989,861000,10624000,"FJ->BO"
"FR->BO",0,5.9046,9831.338,65350000,10624000,"FR->BO"
